date,sentiment_lex
2018-08-29,0.6561
2018-08-30,0.4323
2018-08-31,-0.2437
2018-09-04,0.3222
2018-09-04,0.5771
2018-09-19,0.7132
2018-09-19,0.5806
2018-09-27,0.5678
2018-10-03,0.2988
2018-10-04,0.625
2018-10-04,0.7175
2018-10-11,0.1469
2018-10-22,0.9226
2018-10-26,0.0878
2018-11-09,0.2328
2018-11-12,0.3822
2018-11-13,0.144
2018-11-13,0.6649
2018-11-19,0.0918
2018-11-20,0.197
2018-11-21,0.381
2018-11-21,0.6102
2018-11-27,0.7648
2018-11-28,0.6592
2018-12-04,-0.1074
2018-12-10,0.508
2018-12-11,0.7211
2018-12-13,0.558
2018-12-18,0.188
2018-12-24,0.6419
